1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2,1,0,-1,0,0,-1,-1,0,0,-2,1,-3,-1,0,-2,1,0,-3,1,-1,4,0,1,0,-3,-1,0,-1,1,2,1,1,0,1,0,0,0,0,0,2,-4,3,0,-4,0,-1,0,2,0,-1,0,2,0,0
2,2,0,-1,0,1,0,0,0,1,-2,1,-3,-1,0,-2,0,0,-3,1,0,4,0,1,1,-2,0,0,-2,1,2,2,0,0,1,-1,0,-1,-1,0,2,-4,2,0,-3,0,-1,0,2,0,-1,-1,2,0,0
2,1,0,-1,0,1,-1,-2,0,1,-1,2,-2,0,0,-1,1,-1,-3,0,0,4,1,2,2,-1,0,0,0,1,2,2,1,-1,0,0,1,0,-1,0,2,-4,2,0,-3,0,-2,0,2,0,-2,0,2,-1,-1
2,1,0,-1,0,2,0,-2,0,1,-2,2,-1,0,0,-1,1,-1,-2,0,0,4,2,2,3,0,0,0,0,1,2,1,1,-1,0,0,0,-1,-2,0,1,-4,2,0,-3,0,-2,0,2,0,-2,0,2,-2,-2
2,1,0,-1,0,2,0,-2,0,2,-2,2,-1,0,0,-1,1,-1,-1,0,0,4,2,1,3,0,0,0,0,2,2,1,1,-2,0,0,0,-2,-2,0,1,-3,1,0,-3,0,-2,0,2,0,-2,0,1,-2,-3
0,1,0,2,-2,0,0,-1,0,1,0,-1,0,-1,-2,1,1,0,-1,-2,0,1,0,4,0,0,0,2,2,1,0,0,1,-2,0,2,-2,0,0,-4,-2,-1,0,-4,0,0,-2,0,0,0,-2,-2,4,0,0
0,1,0,1,-3,0,1,-1,0,1,0,0,0,-1,-1,1,1,0,-1,-2,0,2,0,4,1,0,0,2,0,1,0,0,1,-1,1,2,-2,0,0,-4,-2,-2,0,-4,0,1,-2,0,1,0,-1,-1,4,0,0
0,1,1,0,-1,-1,0,-2,1,0,0,0,-1,-1,-2,0,2,0,-1,-2,0,1,0,4,0,-2,0,1,2,1,0,0,2,-1,0,2,-1,1,1,-3,-2,-3,0,-2,0,1,-1,0,2,0,-1,0,4,0,-1
-1,1,1,0,-2,0,0,-2,1,0,-1,0,-2,-1,-1,0,2,1,-2,-1,0,2,0,4,0,-2,-1,1,0,1,1,0,2,0,1,2,-1,0,1,-4,-1,-4,1,-2,0,1,-1,0,2,-1,0,0,4,0,0
-1,1,0,-1,-2,0,0,-1,0,0,-1,0,-3,-1,0,0,1,2,-3,0,0,3,0,3,0,-2,-1,1,-1,1,1,0,2,0,2,1,0,0,0,-3,0,-4,2,-2,0,1,-1,0,2,-1,0,0,4,0,0
0,1,0,-1,-2,0,0,0,0,0,-1,0,-4,-1,0,-1,0,2,-3,0,0,4,0,1,0,-1,-1,0,-2,1,2,0,1,1,2,0,0,-1,0,-3,0,-4,2,-2,-1,1,-1,0,2,-2,0,0,4,0,1
0,1,0,-1,-1,0,0,0,0,0,-1,0,-4,-1,0,-1,0,2,-3,1,0,4,0,0,0,0,-1,0,-3,1,3,0,1,1,2,0,0,-1,0,-2,0,-4,3,-1,-2,1,-1,0,2,-2,0,0,4,0,2
0,1,0,-2,0,0,0,-1,0,0,-1,0,-4,-1,0,-2,1,1,-3,1,-1,4,0,0,-1,-2,-1,0,-2,2,3,0,1,0,2,0,0,0,0,0,1,-4,4,0,-3,0,-1,0,3,-1,0,0,4,0,2
1,1,0,-2,0,0,0,-1,0,0,-1,0,-3,-1,0,-2,1,1,-3,1,-1,4,0,0,-1,-2,0,0,-2,2,3,0,1,0,1,0,0,0,0,0,1,-4,4,0,-4,0,-1,0,3,-1,0,0,3,0,2
2,1,0,-2,0,0,0,-1,0,0,-1,0,-3,-1,0,-2,0,0,-3,1,-1,4,0,0,0,-3,0,0,-2,2,3,0,0,0,1,0,0,0,0,0,1,-4,4,0,-4,0,-1,0,2,0,0,0,4,0,2
3,1,0,-2,0,0,0,-1,0,0,-1,1,-3,-1,0,-1,0,0,-3,0,0,4,0,1,0,-3,0,0,-1,2,3,1,0,-1,0,0,1,0,0,0,1,-4,3,0,-4,0,-2,0,2,0,-1,-1,4,-1,0
3,1,0,-2,0,0,0,-2,0,0,-1,1,-2,-1,0,-1,0,-1,-2,0,0,4,1,2,2,-2,0,0,0,1,3,1,0,-1,0,0,1,0,0,0,0,-4,3,0,-4,0,-2,0,2,0,-2,-1,3,-1,-1
3,1,0,-2,0,2,0,-2,0,1,-1,2,-1,0,0,-1,0,-1,-2,0,0,4,2,2,2,0,0,0,0,2,3,1,1,-1,0,0,0,-1,-1,0,0,-3,2,0,-3,0,-3,0,2,0,-2,-1,3,-2,-2
2,1,0,-2,0,2,0,-2,0,1,-2,2,-1,0,0,-1,0,-1,-1,0,0,4,2,1,3,0,0,0,0,2,2,0,1,-1,0,0,0,-1,-2,0,0,-2,2,0,-3,0,-3,0,2,0,-2,0,2,-2,-3
1,1,0,-2,0,2,0,-2,0,1,-2,3,0,0,0,-1,0,-1,-1,0,0,4,2,1,3,0,0,0,0,2,2,0,1,-1,0,0,0,-2,-2,0,0,-1,2,0,-3,0,-3,0,2,0,-1,0,2,-3,-3
0,0,0,2,-2,0,1,-2,0,1,0,-1,0,-1,-2,1,1,0,0,-2,0,1,0,4,1,0,0,2,1,1,0,1,1,-2,0,2,-2,0,0,-4,-3,-1,0,-4,0,0,-2,0,0,0,-2,-2,4,0,0
0,0,1,0,-1,-1,0,-2,1,0,0,0,0,-1,-3,1,2,0,0,-2,0,1,0,4,0,-2,0,2,2,1,0,0,1,-2,0,3,-1,1,1,-3,-3,-2,0,-2,0,0,-2,0,1,0,-1,-1,4,0,-1
0,1,0,0,-2,0,1,-1,0,1,0,0,-1,-1,-1,1,0,1,-1,-1,0,2,0,4,1,-1,-1,2,0,1,1,0,1,0,1,2,-1,-1,0,-4,-2,-4,0,-3,0,0,-2,0,1,-1,0,0,4,0,0
0,1,0,0,-2,0,1,-1,0,0,-1,0,-2,-1,0,0,0,1,-2,-1,0,3,0,4,1,-1,-1,2,-1,1,1,0,1,0,1,1,0,-1,0,-4,-1,-4,1,-3,0,1,-2,0,1,-2,0,0,4,0,0
0,1,0,-1,-2,0,1,-1,0,0,-1,0,-3,-1,0,0,0,2,-2,0,-1,3,0,3,0,-2,-1,1,-1,1,2,0,2,0,2,1,0,0,0,-3,-1,-4,2,-2,0,0,-1,0,2,-2,1,0,4,0,0
0,1,0,-2,-1,0,0,-1,0,0,-1,0,-4,-1,0,0,0,2,-3,0,-1,3,0,1,0,-2,-1,1,-2,1,2,0,2,0,2,1,0,0,0,-2,0,-4,2,-1,0,0,-2,0,2,-2,1,0,4,0,1
0,1,0,-1,-1,0,0,0,0,0,-1,0,-4,-1,1,-1,0,1,-3,1,0,4,0,0,0,0,-1,0,-3,1,3,0,0,1,2,0,0,-1,0,-3,0,-4,2,-2,-1,0,-1,0,2,-2,1,0,4,0,2
0,1,1,-1,-1,0,0,0,-1,0,-1,0,-4,-1,1,-1,0,1,-3,1,0,4,0,0,0,-1,0,0,-3,2,4,0,0,0,1,0,0,0,0,-2,0,-4,3,-1,-2,0,-1,0,2,-2,1,0,4,0,3
0,1,1,-2,0,-1,0,-1,-1,0,-1,0,-4,-1,0,-2,0,1,-3,1,0,3,0,0,0,-2,0,0,-2,2,4,0,0,0,1,0,0,0,1,-1,0,-4,3,0,-3,0,-1,1,2,-1,0,0,4,0,3
1,1,1,-2,0,-1,0,-1,0,0,-1,0,-3,-2,0,-2,0,0,-3,1,0,3,0,0,0,-3,0,0,-2,2,4,0,0,0,0,0,0,1,1,-1,0,-3,3,0,-4,0,-1,1,2,0,0,-1,4,0,2
2,1,0,-2,0,0,0,-1,-1,0,-1,0,-3,-2,1,-1,0,0,-3,0,0,3,0,0,0,-2,0,0,-2,2,4,1,0,0,0,0,0,0,0,-1,0,-2,2,0,-4,1,-2,1,2,0,0,-3,4,0,1
3,0,0,-2,0,0,0,-2,0,0,-1,1,-2,-1,0,-1,0,-1,-3,0,0,3,1,2,1,-2,0,0,0,2,4,0,0,-1,0,0,0,1,0,0,0,-3,2,0,-4,0,-3,1,2,1,-1,-2,4,-1,0
3,1,0,-2,0,1,0,-2,0,0,-1,2,-2,-1,0,-1,0,-1,-2,0,0,3,1,2,1,-1,0,0,0,2,4,0,1,-1,0,0,0,0,0,0,-1,-2,2,0,-4,0,-3,1,2,1,-2,-2,4,-2,-1
2,1,0,-2,0,2,0,-2,0,1,-2,2,-1,-1,0,-1,0,-1,-1,0,0,3,2,1,2,0,0,0,0,2,3,0,1,-1,0,1,0,-1,-1,0,-1,-2,2,0,-4,0,-3,0,2,1,-2,-1,4,-2,-2
1,1,0,-2,0,1,0,-2,0,0,-2,3,-1,-1,0,-1,0,0,-1,0,0,3,2,2,2,0,0,0,0,2,2,0,1,-1,0,1,0,-1,-1,0,-1,-1,2,0,-4,0,-3,0,2,1,-2,0,3,-3,-3
0,1,0,-2,0,1,1,-2,0,0,-2,4,-1,-1,0,-1,0,0,-1,0,0,3,2,2,2,0,0,0,0,2,3,0,1,0,0,0,0,-2,-2,0,-1,0,2,0,-4,1,-3,0,2,1,-2,1,3,-4,-4
0,0,0,2,-2,-1,0,-2,0,1,0,-1,1,-1,-3,1,2,0,0,-1,0,1,0,4,1,0,0,3,2,2,0,1,0,-2,0,2,-2,1,0,-2,-3,0,0,-3,0,-1,-2,0,0,0,-2,-2,4,0,0
0,0,0,1,-1,-1,0,-2,0,0,0,-1,0,0,-3,1,1,0,0,-2,-1,1,0,4,1,-1,0,2,2,2,1,1,1,-2,0,3,-1,1,0,-3,-3,-1,0,-3,0,0,-2,0,0,0,-2,-1,4,0,0
0,0,0,0,-2,-1,1,-2,0,0,0,0,0,0,-2,1,1,0,0,-2,-1,2,0,4,1,-2,0,3,1,2,1,1,1,-2,0,3,-1,0,0,-3,-3,-2,0,-2,0,0,-3,0,1,-1,-1,-1,4,0,0
0,0,0,0,-1,0,1,-2,0,0,0,0,0,0,-2,1,1,0,-1,-1,-1,2,0,4,1,-3,-1,2,0,1,1,0,1,-1,0,2,0,0,0,-3,-2,-3,0,-2,0,0,-2,0,1,-1,0,0,4,0,0
0,0,0,-1,-2,0,1,-2,0,0,-1,0,-2,-1,0,0,0,1,-1,0,-1,2,0,4,1,-2,-1,2,-1,1,1,0,1,0,0,2,0,0,0,-3,-2,-4,1,-2,0,0,-2,0,1,-2,0,0,4,1,0
0,0,0,-1,-2,0,1,-1,0,0,-1,1,-3,-1,0,0,0,1,-2,0,0,3,0,2,1,-1,-1,2,-2,1,2,0,1,0,1,1,0,-1,0,-3,-1,-4,1,-2,0,0,-2,0,1,-2,1,0,4,1,0
0,1,0,-1,-2,0,1,0,0,0,-1,1,-4,-1,1,0,0,1,-2,0,0,3,0,1,1,0,-1,1,-3,1,3,0,1,1,1,1,0,-1,0,-3,0,-4,1,-2,0,0,-2,0,1,-3,1,0,4,1,1
0,0,1,-2,-1,-1,0,-1,0,0,-1,0,-4,-2,0,-1,0,1,-3,1,-1,2,0,0,0,-1,-1,1,-1,1,3,-1,2,0,0,1,0,1,0,-1,0,-4,3,-1,-1,0,-2,0,2,-1,1,0,4,0,2
0,0,1,-2,-1,-1,0,-1,-1,0,-1,0,-4,-2,1,-1,0,0,-3,1,0,3,0,0,0,-1,-1,1,-2,2,4,0,1,0,0,1,0,0,0,-1,0,-4,2,-1,-2,0,-2,1,2,-1,1,0,4,0,3
0,0,1,-2,0,-2,0,-1,0,0,0,0,-3,-2,0,-1,0,0,-3,1,0,2,0,0,0,-1,0,1,-1,2,4,0,0,0,0,1,0,2,1,-1,0,-3,2,-1,-3,0,-2,1,2,0,1,-1,4,0,3
1,0,1,-2,0,-2,0,-1,0,-1,0,0,-3,-2,0,-1,0,0,-3,1,0,1,0,0,0,-2,0,1,0,2,4,0,0,0,-1,1,1,3,1,0,-1,-2,2,0,-4,0,-3,2,2,0,0,-2,4,0,2
2,0,0,-2,0,-1,0,-1,0,0,0,0,-3,-2,0,-1,0,-1,-3,0,0,1,0,0,0,-2,0,1,0,2,4,0,0,0,-1,1,1,2,1,-1,-1,-2,2,0,-4,0,-3,2,1,1,0,-2,4,0,1
3,0,0,-2,0,0,0,-1,0,0,0,1,-2,-2,0,-1,0,-1,-3,0,0,1,1,1,0,-2,0,1,0,2,4,0,0,0,0,1,0,2,0,0,-2,-2,2,0,-4,0,-4,2,1,1,-1,-2,4,-1,0
3,0,0,-2,0,0,0,-1,0,0,-1,1,-2,-1,0,-1,0,-1,-2,0,0,2,1,2,0,-1,0,0,0,2,4,0,1,0,0,1,0,0,0,0,-3,-2,2,0,-4,0,-4,1,2,1,-2,-2,4,-1,-1
2,1,0,-2,0,1,0,-1,0,0,-1,2,-2,-1,0,-1,0,-1,-1,0,0,2,1,2,0,0,0,0,0,3,3,0,1,0,0,1,0,0,0,-1,-3,-1,2,0,-4,0,-4,1,2,1,-2,-1,4,-2,-2
1,1,0,-3,0,1,1,-2,0,0,-2,3,-1,-1,0,-1,0,0,-1,0,0,2,2,2,0,0,0,0,0,2,2,-1,1,0,0,0,0,0,0,0,-3,-1,3,0,-4,0,-4,0,2,2,-2,0,4,-3,-3
0,1,0,-2,-1,1,1,-2,0,0,-2,4,-1,-1,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,2,2,0,1,0,0,0,0,-1,0,0,-2,0,3,0,-4,2,-3,0,2,1,-2,1,4,-3,-3
0,0,0,2,-2,-1,0,-2,0,1,0,-1,1,0,-2,1,2,0,0,-1,-1,1,0,4,1,-1,0,3,2,2,1,1,0,-2,0,2,-1,2,0,-2,-3,0,0,-3,0,-1,-2,0,0,0,-1,-2,4,0,0
0,0,0,1,-2,-1,0,-2,0,1,0,-1,0,0,-2,1,1,0,0,-1,-1,2,0,4,1,-2,0,3,1,2,1,1,0,-2,0,2,-1,0,0,-2,-3,-1,0,-3,0,-1,-3,0,0,-1,-1,-1,4,1,0
0,0,0,0,-2,-1,0,-2,0,0,0,0,0,0,-2,1,1,0,0,-1,-1,2,0,4,1,-3,0,3,1,2,1,1,0,-1,0,2,0,0,0,-2,-3,-2,0,-2,0,0,-3,0,0,-1,-1,-1,4,1,0
0,0,0,0,-2,0,1,-2,0,0,0,0,0,-1,-1,1,1,0,0,0,-1,2,0,4,1,-3,-1,3,0,1,1,0,0,-1,0,2,0,0,0,-3,-2,-3,0,-2,0,0,-3,0,1,-2,0,0,4,1,0
0,0,0,-1,-2,0,1,-1,0,0,-1,1,-2,-1,0,1,0,0,-1,0,-1,3,0,3,1,-2,-1,2,-1,1,2,0,1,0,0,2,0,0,0,-3,-2,-4,0,-2,0,0,-3,0,1,-2,0,0,4,1,0
0,0,0,-2,-2,0,0,-1,0,0,-1,1,-3,-1,0,0,0,1,-2,0,-1,2,0,3,1,-2,-1,2,-1,1,2,0,1,0,0,2,0,0,0,-3,-1,-4,1,-2,0,0,-3,0,1,-2,1,0,4,1,0
0,0,0,-2,-2,0,0,-1,0,0,-1,1,-3,-2,1,0,0,1,-3,1,0,3,0,1,1,-1,-1,2,-1,1,3,0,1,0,0,1,1,0,0,-3,-1,-4,1,-2,0,0,-3,0,1,-2,1,0,4,2,1
0,0,0,-2,-1,0,0,-1,0,0,-1,1,-4,-2,1,0,0,0,-3,1,0,2,0,0,1,0,-1,2,-1,1,4,0,1,0,0,1,1,1,0,-2,0,-3,1,-2,0,0,-3,0,1,-2,1,0,4,1,2
0,0,1,-2,-1,-1,0,-1,0,0,0,0,-3,-3,1,-1,0,0,-4,1,0,1,0,0,1,0,-1,2,0,1,4,0,1,0,0,2,1,2,0,-1,0,-3,2,-1,-1,0,-3,1,1,-1,1,0,4,1,3
0,0,1,-2,0,-2,0,-1,0,-1,0,0,-3,-3,0,-1,0,0,-4,1,0,0,0,0,1,-1,-1,2,0,1,4,0,1,0,-1,2,1,3,1,0,-1,-2,1,0,-2,0,-4,1,1,0,1,-1,4,1,3
1,0,1,-2,0,-2,0,-1,0,-1,0,0,-2,-3,0,0,0,-1,-4,0,0,0,0,0,0,-1,0,1,1,1,4,0,1,0,-2,2,1,4,2,0,-1,-2,1,0,-3,0,-4,2,1,1,0,-1,4,0,2
2,0,0,-2,0,-1,0,-1,0,-1,0,0,-2,-3,0,0,0,-1,-3,0,1,0,0,0,0,-1,0,1,1,1,4,0,1,0,-1,2,1,3,1,0,-2,-2,1,0,-4,0,-4,2,0,1,0,-2,4,0,1
2,0,0,-3,0,0,0,-1,0,-1,0,0,-2,-2,0,0,0,-1,-3,0,1,0,1,1,0,-1,0,1,1,2,4,0,1,0,-1,1,0,2,1,-1,-3,-2,1,0,-4,0,-4,2,1,2,-1,-2,4,0,0
3,0,0,-3,0,0,0,-1,1,-1,0,1,-2,-1,0,0,-1,-1,-2,0,1,0,1,2,0,-1,0,1,0,2,3,0,1,1,0,1,0,2,0,-1,-4,-1,2,0,-4,0,-4,1,1,2,-2,-1,4,-1,0
2,1,1,-3,0,1,1,-1,0,0,-1,2,-2,-1,0,-1,-1,-1,-1,0,0,0,1,2,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,-1,-4,-1,2,0,-4,1,-4,0,2,1,-2,0,4,-1,-1
1,1,1,-2,-1,0,1,-1,0,0,-1,3,-1,-1,0,-1,-1,0,-1,0,0,1,1,3,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,-1,-4,0,3,0,-4,2,-4,0,2,1,-2,0,4,-2,-1
0,1,1,-2,-1,0,1,-1,1,-1,-2,4,0,-1,0,0,-1,0,0,0,0,0,1,3,0,-2,0,0,0,2,1,-1,1,1,0,0,0,0,0,-1,-3,0,3,0,-4,2,-2,0,2,2,-3,1,4,-2,-2
-1,1,1,-2,-1,0,2,-2,0,-1,-2,4,0,-2,0,0,-1,0,0,0,0,1,1,3,0,-2,0,-1,0,1,1,0,0,1,0,0,0,0,0,-1,-1,0,3,0,-4,2,-1,0,2,2,-2,2,4,-2,-3
0,1,0,2,-2,1,0,0,0,1,0,-3,1,-1,0,0,1,0,0,1,-1,2,1,2,1,0,0,3,2,1,0,-1,0,0,1,0,-1,4,0,-3,-3,1,-2,-4,-1,-2,0,2,-1,0,-3,-2,2,1,0
0,1,0,2,-2,0,0,-1,0,1,0,-2,1,0,-1,0,2,0,0,0,-1,1,0,4,1,-1,0,3,2,2,0,0,0,-2,0,2,-1,4,0,-1,-4,0,-2,-4,0,-2,-1,0,0,0,-2,-1,4,0,0
0,0,0,2,-2,0,0,-1,0,1,0,-2,1,0,-2,1,2,0,0,0,-1,1,0,4,1,-2,0,3,2,3,0,1,0,-2,0,2,-1,3,0,-1,-4,0,-1,-3,0,-2,-2,0,0,0,-1,-1,4,0,0
0,0,0,1,-1,-1,0,-2,0,0,0,-1,1,0,-2,1,2,0,0,-1,-1,1,0,4,1,-3,0,2,2,3,1,1,1,-2,-1,2,0,3,0,0,-4,0,-1,-2,0,-2,-2,0,0,0,-1,-1,4,0,0
0,0,0,0,-2,-1,0,-2,0,0,0,-1,1,0,-2,1,2,0,0,-1,-1,1,0,4,1,-3,0,2,2,3,1,1,1,-2,-1,2,0,2,0,-1,-3,0,0,-1,0,-1,-3,0,0,0,-1,-1,4,0,0
0,0,0,0,-2,-1,0,-3,0,0,0,0,0,0,-2,1,2,0,0,0,-1,2,0,4,0,-4,0,3,1,2,1,1,0,-1,-1,2,0,2,0,-1,-3,-1,0,-1,0,-1,-3,0,1,-1,-1,0,4,1,0
0,0,0,0,-2,-1,0,-2,0,0,-1,0,0,-1,-1,1,2,0,0,0,-1,2,0,4,1,-4,-1,3,1,2,1,0,0,-1,-1,2,0,1,0,-2,-2,-2,0,-1,0,0,-4,0,1,-1,0,0,4,1,0
